Description,Price,Rating,Rating Count,URL
MSI Modern 15 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-291IN Th...,"₹58,990",4,57 Ratings ,https://www.flipkart.com//msi-modern-15-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-b13m-291in-thin-light-laptop/p/itmf413fdbe8af01?pid=COMGMV6VU9YWMPGH&lid=LSTCOMGMV6VU9YWMPGHUNDWND&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8Hgjq2noQVxG67lKDnC6bKIrm0GV---goIPcSJj1jtEFRg8DbPjpExlWhmpgUQnOg2ao%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Lenovo Ideapad Slim 3 Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chrom...,"₹24,990",No reviews,0,https://www.flipkart.com//lenovo-ideapad-slim-3-intel-pentium-quad-core-n100-4-gb-128-gb-emmc-storage-chrome-os-14ian8-chromebook/p/itm7c0c58320220d?pid=COMGT2Y3DHC6QN4R&lid=LSTCOMGT2Y3DHC6QN4RWO2X6D&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&iid=en_H2_mDfV2Nt9usMpoN2OSSnc3v9_I0NEJTUvwgFH8HgiUxRYvW11V9qHR8LhMErn2K3OR4yhpHGyoA1WktS5pU2JMZAJirnjvZRqZ0WhE16A%3D&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Lenovo AMD Ryzen 7 Octa Core 7730U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,"₹42,490",4,159 Ratings ,https://www.flipkart.com//lenovo-amd-ryzen-7-octa-core-7730u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm3138a03a4b1a2?pid=COMGT82XR3HBQGVJ&lid=LSTCOMGT82XR3HBQGVJXIX5PN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGT82XR3HBQGVJ.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
Infinix ZERO BOOK Series Laptop Intel Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Hom...,"₹43,990",3.9,26 Ratings ,https://www.flipkart.com//infinix-zero-book-series-laptop-intel-core-i7-12th-gen-12700h-16-gb-512-gb-ssd-windows-11-home-zl12-business/p/itm76229fb36139a?pid=COMGMFK7UGEMRBEN&lid=LSTCOMGMFK7UGEMRBENA08QCS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&iid=e5359909-2ef0-474f-8d0b-bf8396f9e7c8.COMGMFK7UGEMRBEN.SEARCH&ssid=n3gjj5qof40000001716893751312&qH=c06ea84a1e3dc3c6
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹38,990",4.3,"6,874 Ratings ",https://www.flipkart.com//hp-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15s-eq2144au-thin-light-laptop/p/itmd57b41ed8750a?pid=COMGBH9JDPVGD8BH&lid=LSTCOMGBH9JDPVGD8BHIZPQIL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGBH9JDPVGD8BH.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹70,990",4.4,"3,690 Ratings ",https://www.flipkart.com//asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itmb0d08bc695464?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGCG2GXGJGEYUW.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,"₹28,990",4.2,"1,273 Ratings ",https://www.flipkart.com//asus-vivobook-15-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-x1500ea-ej311w-thin-light-laptop/p/itmcc87b88b4d7bf?pid=COMGS7M36HZBHH5R&lid=LSTCOMGS7M36HZBHH5RNHNWTN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGS7M36HZBHH5R.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,"₹45,990",4.3,595 Ratings ,https://www.flipkart.com//msi-modern-14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-c7m-063in-thin-light-laptop/p/itma9abd86c9c099?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGMV6VHGPAGP55.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,"₹48,990",4.3,922 Ratings ,https://www.flipkart.com//msi-modern-14-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-c7m-062in-thin-light-laptop/p/itm491f6c86ff75c?pid=COMGMV6VNCJ7TTYV&lid=LSTCOMGMV6VNCJ7TTYVJYI44H&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGMV6VNCJ7TTYV.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
HP Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0021TU Thin and Light Laptop,"₹59,490",4.2,362 Ratings ,https://www.flipkart.com//hp-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-15-fd0021tu-thin-light-laptop/p/itm0fee359baf72d?pid=COMGZVGHDFPZKD4X&lid=LSTCOMGZVGHDFPZKD4XDNRARH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=39928e83-db7a-4e6c-abda-0da64edd3e07.COMGZVGHDFPZKD4X.SEARCH&ppt=sp&ppn=sp&ssid=18kynfh7m80000001716893753190&qH=c06ea84a1e3dc3c6
