Description                                                                             ,Price     ,Rating ,Rating Count        ,URL
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)"                                           ,"₹22,999" ,   4.3 ,"43,710 Ratings "   ,https://www.flipkart.com//motorola-edge-40-neo-soothing-sea-128-gb/p/itmcfb87467e7d9a?pid=MOBGQFX6AG2JD2XT&lid=LSTMOBGQFX6AG2JD2XTMNTYDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGQFX6AG2JD2XT.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)"                             ,"₹5,499"  ,   4   ,"2,16,182 Ratings " ,https://www.flipkart.com//poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGQTDP5DGSNS7Q.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO C65 (Matte Black, 128 GB)"                                                        ,"₹6,799"  ,   4.2 ,"16,073 Ratings "   ,https://www.flipkart.com//poco-c65-matte-black-128-gb/p/itm8ea3d87aa6c0c?pid=MOBGVVTXAFHYHDZS&lid=LSTMOBGVVTXAFHYHDZSK9U3D1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGVVTXAFHYHDZS.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"MOTOROLA G04 (Concord Black, 64 GB)"                                                   ,"₹6,999"  ,   4.2 ,"9,160 Ratings "    ,https://www.flipkart.com//motorola-g04-concord-black-64-gb/p/itm1466484dd2cea?pid=MOBGUFK4HPBEUCFH&lid=LSTMOBGUFK4HPBEUCFHHMCZAP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=e494bd0e-e5b8-4e36-8664-9024b236efe3.MOBGUFK4HPBEUCFH.SEARCH&ssid=hezs9n33hs0000001716021125841&qH=eb4af0bf07c16429
"POCO C65 (Matte Black, 128 GB)"                                                        ,"₹7,499"  ,   4.2 ,"4,682 Ratings "    ,https://www.flipkart.com//poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGVVTXBXRRZEUK.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO C61 (Diamond Dust Black, 128 GB)"                                                 ,"₹6,999"  ,   4.3 ,"1,921 Ratings "    ,https://www.flipkart.com//poco-c61-diamond-dust-black-128-gb/p/itme76b51d42160a?pid=MOBGZ8P7BAHYFYSG&lid=LSTMOBGZ8P7BAHYFYSGDJGAIX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGZ8P7BAHYFYSG.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Power Black, 256 GB)"                                                  ,"₹11,499" ,   4.2 ,"17,501 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-power-black-256-gb/p/itme40c1e1538153?pid=MOBGVGDQ5MV3HPEZ&lid=LSTMOBGVGDQ5MV3HPEZ6BAJSL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGVGDQ5MV3HPEZ.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO M6 5G (Orion Blue, 256 GB)"                                                       ,"₹10,499" ,   4.2 ,"5,814 Ratings "    ,https://www.flipkart.com//poco-m6-5g-orion-blue-256-gb/p/itme5e4ce0f49daf?pid=MOBGW9FEH8ZHKNDY&lid=LSTMOBGW9FEH8ZHKNDYVSMGCF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGW9FEH8ZHKNDY.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"MOTOROLA G04 (Satin Blue, 128 GB)"                                                     ,"₹7,999"  ,   4.1 ,"3,885 Ratings "    ,https://www.flipkart.com//motorola-g04-satin-blue-128-gb/p/itm723b134b6121c?pid=MOBGUFK4DNFX5BFV&lid=LSTMOBGUFK4DNFX5BFVR3WXGI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGUFK4DNFX5BFV.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO C65 (Pastel Green, 128 GB)"                                                       ,"₹7,499"  ,   4.2 ,"4,682 Ratings "    ,https://www.flipkart.com//poco-c65-pastel-green-128-gb/p/itm50cb31371238b?pid=MOBGXTV9GZHKA5KW&lid=LSTMOBGXTV9GZHKA5KWMKX3GG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGXTV9GZHKA5KW.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"MOTOROLA g24 Power (Glacier Blue, 128 GB)"                                             ,"₹7,999"  ,   4.2 ,"7,183 Ratings "    ,https://www.flipkart.com//motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGUFK4FEVX2D5T.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"Motorola g64 5G (Ice Lilac, 128 GB)"                                                   ,"₹14,999" ,   4.2 ,"3,532 Ratings "    ,https://www.flipkart.com//motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"Motorola g64 5G (Pearl Blue, 128 GB)"                                                  ,"₹14,999" ,   4.2 ,"3,532 Ratings "    ,https://www.flipkart.com//motorola-g64-5g-pearl-blue-128-gb/p/itm68710cef5104b?pid=MOBGY2JU53P3KMG9&lid=LSTMOBGY2JU53P3KMG9IXP4DQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGY2JU53P3KMG9.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)"                       ,"₹31,999" ,   4.4 ,"8,572 Ratings "    ,https://www.flipkart.com//motorola-edge-50-pro-5g-68w-charger-black-beauty-256-gb/p/itmb3f6625c5c896?pid=MOBGXFXYDG8YRZU4&lid=LSTMOBGXFXYDG8YRZU4SAX9WW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGXFXYDG8YRZU4.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO C65 (Pastel Blue, 128 GB)"                                                        ,"₹7,499"  ,   4.2 ,"4,682 Ratings "    ,https://www.flipkart.com//poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGVVTXTQDGZ7JY.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO C65 (Pastel Blue, 256 GB)"                                                        ,"₹8,249"  ,   4.2 ,"4,194 Ratings "    ,https://www.flipkart.com//poco-c65-pastel-blue-256-gb/p/itm25756864abc77?pid=MOBGVVTX2QNXDJ2W&lid=LSTMOBGVVTX2QNXDJ2WLNZIWO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGVVTX2QNXDJ2W.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO M6 5G (Galactic Black, 256 GB)"                                                   ,"₹10,499" ,   4.2 ,"5,814 Ratings "    ,https://www.flipkart.com//poco-m6-5g-galactic-black-256-gb/p/itm1bc7cb01620e6?pid=MOBGW9FEQH3ESHCZ&lid=LSTMOBGW9FEQH3ESHCZIDEBTF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGW9FEQH3ESHCZ.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)"                     ,"₹35,999" ,   4.4 ,"2,641 Ratings "    ,https://www.flipkart.com//motorola-edge-50-pro-5g-125w-charger-luxe-lavender-256-gb/p/itm3281f9ac32d1a?pid=MOBGXFXY2SBHGSVN&lid=LSTMOBGXFXY2SBHGSVNUNNNTJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGXFXY2SBHGSVN.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"POCO C61 (Ethereal Blue, 64 GB)"                                                       ,"₹6,499"  ,   4.2 ,"1,711 Ratings "    ,https://www.flipkart.com//poco-c61-ethereal-blue-64-gb/p/itmdb8902b0c9344?pid=MOBGYQ6BXH69VAJY&lid=LSTMOBGYQ6BXH69VAJYWCT1R1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGYQ6BXH69VAJY.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
"MOTOROLA G04 (Sunrise Orange, 128 GB)"                                                 ,"₹7,999"  ,   4.1 ,"3,885 Ratings "    ,https://www.flipkart.com//motorola-g04-sunrise-orange-128-gb/p/itm4ea5277f581ad?pid=MOBGUFK4HYNKBQWY&lid=LSTMOBGUFK4HYNKBQWYYD0CJZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=organic&iid=f4f1a745-760c-4a1e-8513-a9a7018e8280.MOBGUFK4HYNKBQWY.SEARCH&ppt=sp&ppn=sp&ssid=cdrh4kemdc0000001716021127463&qH=eb4af0bf07c16429
