Description                                                                             ,Price     ,Rating ,Rating Count        ,URL
"POCO C65 (Matte Black, 256 GB)"                                                        ,"₹8,249"  ,   4.2 ,"3,515 Ratings "    ,https://www.flipkart.com//poco-c65-matte-black-256-gb/p/itmd776f58809b28?pid=MOBGVVTXXYZHF5UM&lid=LSTMOBGVVTXXYZHF5UMGXNVBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGVVTXXYZHF5UM.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"REDMI 13C (Starfrost White, 128 GB)"                                                   ,"₹7,699"  ,   4.3 ,"12,884 Ratings "   ,https://www.flipkart.com//redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGWUHSZKWBZQWJ.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"Motorola g64 5G (Ice Lilac, 128 GB)"                                                   ,"₹14,999" ,   4.2 ,"2,375 Ratings "    ,https://www.flipkart.com//motorola-g64-5g-ice-lilac-128-gb/p/itm36e3ccb6c9dee?pid=MOBGY2JUZHAXQ8ZG&lid=LSTMOBGY2JUZHAXQ8ZGKQ5SOK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGY2JUZHAXQ8ZG.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"POCO M6 Pro 5G (Power Black, 256 GB)"                                                  ,"₹11,499" ,   4.2 ,"16,317 Ratings "   ,https://www.flipkart.com//poco-m6-pro-5g-power-black-256-gb/p/itme40c1e1538153?pid=MOBGVGDQ5MV3HPEZ&lid=LSTMOBGVGDQ5MV3HPEZ6BAJSL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGVGDQ5MV3HPEZ.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"MOTOROLA G04 (Sea Green, 128 GB)"                                                      ,"₹7,999"  ,   4.1 ,"3,629 Ratings "    ,https://www.flipkart.com//motorola-g04-sea-green-128-gb/p/itm853979118980f?pid=MOBGUFK4C9NZATQ6&lid=LSTMOBGUFK4C9NZATQ6ECHWPR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGUFK4C9NZATQ6.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)"                                         ,"₹11,990" ,   4.2 ,"1,02,030 Ratings " ,https://www.flipkart.com//samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGNBFNNZER2WZW.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"Motorola Edge 40 Neo (Caneel Bay, 128 GB)"                                             ,"₹20,999" ,   4.3 ,"43,710 Ratings "   ,https://www.flipkart.com//motorola-edge-40-neo-caneel-bay-128-gb/p/itm122f351a3a2a3?pid=MOBGQFX6K7YQJRSY&lid=LSTMOBGQFX6K7YQJRSY4YPKSE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGQFX6K7YQJRSY.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"Motorola G34 5G (Ocean Green, 128 GB)"                                                 ,"₹10,999" ,   4.2 ,"26,637 Ratings "   ,https://www.flipkart.com//motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGUFK49KDBZUMC.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)"                                           ,"₹20,999" ,   4.3 ,"43,710 Ratings "   ,https://www.flipkart.com//motorola-edge-40-neo-soothing-sea-128-gb/p/itmcfb87467e7d9a?pid=MOBGQFX6AG2JD2XT&lid=LSTMOBGQFX6AG2JD2XTMNTYDO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGQFX6AG2JD2XT.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
"POCO C61 (Ethereal Blue, 128 GB)"                                                      ,"₹6,999"  ,   4.3 ,"1,217 Ratings "    ,https://www.flipkart.com//poco-c61-ethereal-blue-128-gb/p/itm57e6bcdef80d2?pid=MOBGZ8P7XJXTYD3P&lid=LSTMOBGZ8P7XJXTYD3PHQWIOQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=organic&iid=67ea9f45-1ede-43bd-befd-65ba3e66479a.MOBGZ8P7XJXTYD3P.SEARCH&ppt=sp&ppn=sp&ssid=8zn53c9du80000001715709795195&qH=eb4af0bf07c16429
